tagid	tag	分页名	栏目名	条目
63611	妇女节		美容菜谱推荐	rid-449795
63611	妇女节		美容菜谱推荐	rid-358033
63611	妇女节		美容菜谱推荐	rid-211784
63611	妇女节		美容菜谱推荐	rid-273075
63611	妇女节		美容菜谱推荐	rid-320420
63611	妇女节		美容菜谱推荐	rid-299793
63611	妇女节		美容菜谱推荐	rid-302489
63611	妇女节		查看更多美容菜谱	keyword-美容
63611	妇女节		查看更多甜品	keyword-甜品
63611	妇女节		更多女人菜谱	rid-66400
63611	妇女节		更多女人菜谱	rid-66489
63611	妇女节		更多女人菜谱	rid-160157
63611	妇女节		更多女人菜谱	rid-187658
63611	妇女节		更多女人菜谱	rid-225479
63611	妇女节		更多女人菜谱	rid-257604
63611	妇女节		更多女人菜谱	rid-260141
63611	妇女节		更多女人菜谱	rid-262696
63611	妇女节		更多女人菜谱	rid-267272
63611	妇女节		更多女人菜谱	rid-271602
63611	妇女节		更多女人菜谱	rid-273075
63611	妇女节		更多女人菜谱	rid-287246
63611	妇女节		更多女人菜谱	rid-302084
63611	妇女节		更多女人菜谱	rid-306993
63611	妇女节		更多女人菜谱	rid-331209
63611	妇女节		更多女人菜谱	rid-3717
63611	妇女节		更多女人菜谱	rid-6377
63611	妇女节		更多女人菜谱	rid-54716
63611	妇女节		更多女人菜谱	rid-55752
63611	妇女节		更多女人菜谱	rid-164388
2808	减肥		禁忌-米面豆乳	food-id-736
2808	减肥		禁忌-米面豆乳	food-id-963
2808	减肥		禁忌-米面豆乳	food-id-3442
2808	减肥		禁忌-米面豆乳	food-id-195
2808	减肥		禁忌-米面豆乳	food-id-196
2808	减肥		禁忌-米面豆乳	food-id-203
2808	减肥		禁忌-米面豆乳	food-id-210
2808	减肥		适宜-畜肉	food-id-19
2808	减肥		适宜-畜肉	food-id-27
2808	减肥		禁忌-禽肉	food-id-9
2808	减肥		禁忌-禽肉	food-id-11
2808	减肥		禁忌-禽肉	food-id-8
2808	减肥		禁忌-禽肉	food-id-29
2808	减肥		禁忌-禽肉	food-id-31
2808	减肥		禁忌-禽肉	food-id-17
2808	减肥		禁忌-禽肉	food-id-7676
2808	减肥		禁忌-禽肉	food-id-13941
2808	减肥		禁忌-水果	food-id-881
2808	减肥		禁忌-水果	food-id-146
2808	减肥		禁忌-水果	food-id-157
2808	减肥		适宜-蔬菜	food-id-43
2808	减肥		适宜-蔬菜	food-id-235
2808	减肥		适宜-蔬菜	food-id-237
2808	减肥		适宜-蔬菜	food-id-1052
2808	减肥		适宜-蔬菜	food-id-39
2808	减肥		适宜-蔬菜	food-id-189
2808	减肥		适宜-蔬菜	food-id-701
2808	减肥		适宜-蔬菜	food-id-69
2808	减肥		适宜-蔬菜	food-id-74
2808	减肥		适宜-蔬菜	food-id-84
2808	减肥		适宜-蔬菜	food-id-246
2808	减肥		适宜-蔬菜	food-id-120
2808	减肥		适宜-蔬菜	food-id-1046
2808	减肥		适宜-蔬菜	food-id-122
2808	减肥		适宜-蔬菜	food-id-245
2808	减肥		适宜-蔬菜	food-id-186
2808	减肥		适宜-蔬菜	food-id-190
2808	减肥		适宜-蔬菜	food-id-11942
2808	减肥		适宜-蔬菜	food-id-242
2808	减肥		适宜-蔬菜	food-id-66
2808	减肥		适宜-蔬菜	food-id-6692
2808	减肥		适宜-蔬菜	food-id-270
2808	减肥		适宜-蔬菜	food-id-277
2808	减肥		适宜-蔬菜	food-id-46
2808	减肥		推荐专辑	aid-128566
2808	减肥		推荐专辑	aid-2349582
2808	减肥		适宜-水产品	food-id-692
2808	减肥		适宜-水产品	food-id-695
2808	减肥		适宜-水产品	food-id-673
2808	减肥		适宜-水产品	food-id-666
2808	减肥		适宜-水产品	food-id-10518
2808	减肥		适宜-水产品	food-id-662
2808	减肥		适宜-水产品	food-id-3037
2808	减肥		适宜-水产品	food-id-691
2808	减肥		适宜-水果	food-id-159
2808	减肥		适宜-水果	food-id-171
2808	减肥		适宜-水果	food-id-181
2808	减肥		适宜-水果	food-id-162
2808	减肥		适宜-水果	food-id-160
2808	减肥		适宜-水果	food-id-170
2808	减肥		适宜-水果	food-id-161
2808	减肥		适宜-水果	food-id-164
2808	减肥		适宜-水果	food-id-179
2808	减肥		适宜-水果	food-id-180
2808	减肥		适宜-水果	food-id-2971
2808	减肥		适宜-水果	food-id-184
2808	减肥		适宜-水果	food-id-759
2808	减肥		适宜-水果	food-id-757
2808	减肥		禁忌食材按钮	http://m.haodou.com/app/recipe/act/tag/index.php?tid=66&sub=two
2808	减肥		适宜食材按钮	http://m.haodou.com/app/recipe/act/tag/index.php?tid=2808&sub=one
2808	减肥		推荐菜谱	rid-50648
2808	减肥		推荐菜谱	rid-64088
2808	减肥		推荐菜谱	rid-162864
2808	减肥		推荐菜谱	rid-236503
2808	减肥		推荐菜谱	rid-249101
2808	减肥		推荐菜谱	rid-250611
2808	减肥		推荐菜谱	rid-256150
2808	减肥		推荐菜谱	rid-269047
2808	减肥		推荐菜谱	rid-281501
2808	减肥		推荐菜谱	rid-283006
2808	减肥		推荐菜谱	rid-290812
2808	减肥		推荐菜谱	rid-295136
2808	减肥		推荐菜谱	rid-306478
2808	减肥		推荐菜谱	rid-326177
2808	减肥		推荐菜谱	rid-329708
2808	减肥		推荐菜谱	rid-9124
2808	减肥		推荐菜谱	rid-163405
2808	减肥		推荐菜谱	rid-211699
2808	减肥		推荐菜谱	rid-220944
2808	减肥		推荐菜谱	rid-231613
2808	减肥		推荐菜谱	rid-237165
2808	减肥		推荐菜谱	rid-268606
2808	减肥		推荐菜谱	rid-270041
2808	减肥		推荐菜谱	rid-281709
2808	减肥		推荐菜谱	rid-293541
2808	减肥		推荐菜谱	rid-304026
2808	减肥		推荐菜谱	rid-309603
2808	减肥		推荐菜谱	rid-315091
2808	减肥		推荐菜谱	rid-334024
2808	减肥		推荐菜谱	rid-433832
2808	减肥		推荐菜谱	rid-215709
2808	减肥		推荐菜谱	rid-231209
2808	减肥		推荐菜谱	rid-231601
2808	减肥		推荐菜谱	rid-250371
2808	减肥		推荐菜谱	rid-253138
2808	减肥		推荐菜谱	rid-260311
2808	减肥		推荐菜谱	rid-260612
2808	减肥		推荐菜谱	rid-262046
2808	减肥		推荐菜谱	rid-283740
2808	减肥		推荐菜谱	rid-294404
2808	减肥		适宜-米面豆乳	food-id-90
2808	减肥		适宜-米面豆乳	food-id-96
2808	减肥		适宜-米面豆乳	food-id-6841
2808	减肥		适宜-米面豆乳	food-id-728
2808	减肥		适宜-米面豆乳	food-id-91
2808	减肥		适宜-米面豆乳	food-id-2898
2808	减肥		适宜-米面豆乳	food-id-94
2808	减肥		适宜-米面豆乳	food-id-128
2808	减肥		适宜-米面豆乳	food-id-127
2808	减肥		适宜-米面豆乳	food-id-130
2808	减肥		适宜-米面豆乳	food-id-136
2808	减肥		适宜-米面豆乳	food-id-117
2808	减肥		适宜-米面豆乳	food-id-92
2808	减肥		适宜-禽蛋	food-id-633
2808	减肥		适宜-禽蛋	food-id-61
2808	减肥		禁忌-调味品	food-id-266
2808	减肥		禁忌-调味品	food-id-281
2808	减肥		禁忌-调味品	food-id-15370
2808	减肥		禁忌-菜品	food-id-2401
2808	减肥		禁忌-菜品	food-id-737
2808	减肥		禁忌-菜品	food-id-827
2808	减肥		禁忌-菜品	food-id-1288
2808	减肥		禁忌-菜品	food-id-997
2808	减肥		禁忌-菜品	food-id-75433
2808	减肥		禁忌-菜品	food-id-2360
5	猪肉		营养/功效按钮	http://m.haodou.com/app/recipe/act/tag/index.php?tid=5&sub=one
5	猪肉		相克/相宜-更多做法	keyword-猪肉
5	猪肉		推荐专辑	aid-4285961
5	猪肉		推荐专辑	aid-4643720
5	猪肉		推荐菜谱	rid-164856
5	猪肉		推荐菜谱	rid-167634
5	猪肉		推荐菜谱	rid-186963
5	猪肉		推荐菜谱	rid-192648
5	猪肉		推荐菜谱	rid-236293
5	猪肉		推荐菜谱	rid-238800
5	猪肉		推荐菜谱	rid-250775
5	猪肉		推荐菜谱	rid-283006
5	猪肉		推荐菜谱	rid-285060
5	猪肉		推荐菜谱	rid-315761
5	猪肉		推荐菜谱	rid-325384
5	猪肉		推荐菜谱	rid-349496
5	猪肉		推荐菜谱	rid-384763
5	猪肉		推荐菜谱	rid-389557
5	猪肉		推荐菜谱	rid-483116
5	猪肉		推荐菜谱	rid-53044
5	猪肉		推荐菜谱	rid-182269
5	猪肉		推荐菜谱	rid-210798
5	猪肉		推荐菜谱	rid-223884
5	猪肉		推荐菜谱	rid-246511
5	猪肉		推荐菜谱	rid-254963
5	猪肉		推荐菜谱	rid-275042
5	猪肉		推荐菜谱	rid-291103
5	猪肉		推荐菜谱	rid-322504
5	猪肉		推荐菜谱	rid-337981
5	猪肉		推荐菜谱	rid-358779
5	猪肉		推荐菜谱	rid-378647
5	猪肉		推荐菜谱	rid-450707
5	猪肉		推荐菜谱	rid-458235
5	猪肉		推荐菜谱	rid-472131
5	猪肉		推荐菜谱	rid-4057
5	猪肉		推荐菜谱	rid-60735
5	猪肉		推荐菜谱	rid-165064
5	猪肉		推荐菜谱	rid-187860
5	猪肉		推荐菜谱	rid-189012
5	猪肉		推荐菜谱	rid-199069
5	猪肉		推荐菜谱	rid-213817
5	猪肉		推荐菜谱	rid-233739
5	猪肉		推荐菜谱	rid-240348
5	猪肉		推荐菜谱	rid-285500
5	猪肉		营养/功效-更多做法	keyword-猪肉
5	猪肉		相克/相宜按钮	http://m.haodou.com/app/recipe/act/tag/index.php?tid=5&sub=two
66	韭菜		营养/功效按钮	http://m.haodou.com/app/recipe/act/tag/index.php?tid=66&sub=one
66	韭菜		相克/相宜-更多做法	keyword-韭菜
66	韭菜		推荐专辑	aid-2459227
66	韭菜		推荐专辑	aid-2937577
66	韭菜		推荐菜谱	rid-28878
66	韭菜		推荐菜谱	rid-65842
66	韭菜		推荐菜谱	rid-66247
66	韭菜		推荐菜谱	rid-162864
66	韭菜		推荐菜谱	rid-215709
66	韭菜		推荐菜谱	rid-228611
66	韭菜		推荐菜谱	rid-249204
66	韭菜		推荐菜谱	rid-257306
66	韭菜		推荐菜谱	rid-266168
66	韭菜		推荐菜谱	rid-270041
66	韭菜		推荐菜谱	rid-281150
66	韭菜		推荐菜谱	rid-285107
66	韭菜		推荐菜谱	rid-362371
66	韭菜		推荐菜谱	rid-437470
66	韭菜		推荐菜谱	rid-473968
66	韭菜		推荐菜谱	rid-2517
66	韭菜		推荐菜谱	rid-38948
66	韭菜		推荐菜谱	rid-232444
66	韭菜		推荐菜谱	rid-248689
66	韭菜		推荐菜谱	rid-248805
66	韭菜		推荐菜谱	rid-264382
66	韭菜		推荐菜谱	rid-266309
66	韭菜		推荐菜谱	rid-274724
66	韭菜		推荐菜谱	rid-293716
66	韭菜		推荐菜谱	rid-296663
66	韭菜		推荐菜谱	rid-299927
66	韭菜		推荐菜谱	rid-315749
66	韭菜		推荐菜谱	rid-394323
66	韭菜		推荐菜谱	rid-396377
66	韭菜		推荐菜谱	rid-408683
66	韭菜		推荐菜谱	rid-65177
66	韭菜		推荐菜谱	rid-204253
66	韭菜		推荐菜谱	rid-215705
66	韭菜		推荐菜谱	rid-235751
66	韭菜		推荐菜谱	rid-243933
66	韭菜		推荐菜谱	rid-263886
66	韭菜		推荐菜谱	rid-266880
66	韭菜		推荐菜谱	rid-281262
66	韭菜		推荐菜谱	rid-323856
66	韭菜		推荐菜谱	rid-331191
66	韭菜		营养/功效-更多做法	keyword-韭菜
66	韭菜		相克/相宜按钮	http://m.haodou.com/app/recipe/act/tag/index.php?tid=66&sub=two
2800	婴儿	6个月	营养关键点	tid-329752
2800	婴儿	6个月	食材	keyword-大米
2800	婴儿	6个月	食材	keyword-胡萝卜
2800	婴儿	6个月	食材	keyword-西红柿
2800	婴儿	6个月	食材	keyword-鸡蛋
2800	婴儿	6个月	食材	keyword-菠菜
2800	婴儿	6个月	食材	keyword-土豆
2800	婴儿	6个月	食材	keyword-青豆
2800	婴儿	6个月	食材	keyword-南瓜
2800	婴儿	6个月	食材	keyword-香蕉
2800	婴儿	6个月	营养师建议	tid-329641
2800	婴儿	6个月	营养师建议	tid-208809
2800	婴儿	6个月	营养师建议	tid-329651
2800	婴儿	6个月	推荐菜谱	rid-305183
2800	婴儿	6个月	推荐菜谱	rid-305190
2800	婴儿	6个月	推荐菜谱	rid-428387
2800	婴儿	6个月	推荐菜谱	rid-305197
2800	婴儿	6个月	推荐菜谱	rid-206779
2800	婴儿	6个月	推荐菜谱	rid-379880
2800	婴儿	6个月	推荐菜谱	rid-212092
2800	婴儿	6个月	推荐菜谱	rid-446669
2800	婴儿	6个月	推荐菜谱	rid-305186
2800	婴儿	6个月	推荐菜谱	rid-305198
2800	婴儿	6个月	推荐菜谱	rid-223421
2800	婴儿	6个月	推荐菜谱	rid-306955
2800	婴儿	6个月	推荐菜谱	rid-306916
2800	婴儿	6个月	推荐菜谱	rid-305188
2800	婴儿	6个月	推荐菜谱	rid-418472
2800	婴儿	6个月	推荐菜谱	rid-204204
2800	婴儿	6个月	推荐菜谱	rid-469483
2800	婴儿	6个月	推荐菜谱	rid-333512
2800	婴儿	6个月	推荐菜谱	rid-386901
2800	婴儿	6个月	推荐菜谱	rid-62035
2800	婴儿	6个月	百科知识	tid-329652
2800	婴儿	6个月	百科知识	tid-329662
2800	婴儿	6个月	百科知识	tid-329640
2800	婴儿	10-12个月	营养关键点	tid-329758
2800	婴儿	10-12个月	食材	keyword-虾仁
2800	婴儿	10-12个月	食材	keyword-南瓜
2800	婴儿	10-12个月	食材	keyword-小米
2800	婴儿	10-12个月	食材	keyword-土豆
2800	婴儿	10-12个月	食材	keyword-牛奶
2800	婴儿	10-12个月	食材	keyword-苹果
2800	婴儿	10-12个月	食材	keyword-梨
2800	婴儿	10-12个月	食材	keyword-鲈鱼
2800	婴儿	10-12个月	食材	keyword-红薯
2800	婴儿	10-12个月	营养师建议	tid-208830
2800	婴儿	10-12个月	营养师建议	tid-329666
2800	婴儿	10-12个月	营养师建议	tid-329644
2800	婴儿	10-12个月	推荐菜谱	rid-231792
2800	婴儿	10-12个月	推荐菜谱	rid-264553
2800	婴儿	10-12个月	推荐菜谱	rid-297302
2800	婴儿	10-12个月	推荐菜谱	rid-290187
2800	婴儿	10-12个月	推荐菜谱	rid-58508
2800	婴儿	10-12个月	推荐菜谱	rid-204234
2800	婴儿	10-12个月	推荐菜谱	rid-227297
2800	婴儿	10-12个月	推荐菜谱	rid-273356
2800	婴儿	10-12个月	推荐菜谱	rid-60856
2800	婴儿	10-12个月	推荐菜谱	rid-165152
2800	婴儿	10-12个月	推荐菜谱	rid-379885
2800	婴儿	10-12个月	推荐菜谱	rid-314705
2800	婴儿	10-12个月	推荐菜谱	rid-336315
2800	婴儿	10-12个月	推荐菜谱	rid-461179
2800	婴儿	10-12个月	推荐菜谱	rid-313129
2800	婴儿	10-12个月	推荐菜谱	rid-317980
2800	婴儿	10-12个月	推荐菜谱	rid-324905
2800	婴儿	10-12个月	推荐菜谱	rid-331270
2800	婴儿	10-12个月	推荐菜谱	rid-332346
2800	婴儿	10-12个月	推荐菜谱	rid-328079
2800	婴儿	10-12个月	百科知识	tid-329646
2800	婴儿	10-12个月	百科知识	tid-269159
2800	婴儿	10-12个月	百科知识	tid-329647
2800	婴儿	7-9个月	营养关键点	tid-329757
2800	婴儿	7-9个月	食材	keyword-香蕉
2800	婴儿	7-9个月	食材	keyword-红薯
2800	婴儿	7-9个月	食材	keyword-龙利鱼
2800	婴儿	7-9个月	食材	keyword-猪肝
2800	婴儿	7-9个月	食材	keyword-南瓜
2800	婴儿	7-9个月	食材	keyword-鸡蛋
2800	婴儿	7-9个月	食材	keyword-瘦肉
2800	婴儿	7-9个月	食材	keyword-豆腐
2800	婴儿	7-9个月	食材	keyword-虾仁
2800	婴儿	7-9个月	营养师建议	tid-208820
2800	婴儿	7-9个月	营养师建议	tid-208827
2800	婴儿	7-9个月	营养师建议	tid-329658
2800	婴儿	7-9个月	推荐菜谱	rid-305199
2800	婴儿	7-9个月	推荐菜谱	rid-305193
2800	婴儿	7-9个月	推荐菜谱	rid-159441
2800	婴儿	7-9个月	推荐菜谱	rid-396345
2800	婴儿	7-9个月	推荐菜谱	rid-305192
2800	婴儿	7-9个月	推荐菜谱	rid-165152
2800	婴儿	7-9个月	推荐菜谱	rid-260232
2800	婴儿	7-9个月	推荐菜谱	rid-206422
2800	婴儿	7-9个月	推荐菜谱	rid-66261
2800	婴儿	7-9个月	推荐菜谱	rid-302484
2800	婴儿	7-9个月	推荐菜谱	rid-376573
2800	婴儿	7-9个月	推荐菜谱	rid-366838
2800	婴儿	7-9个月	推荐菜谱	rid-305196
2800	婴儿	7-9个月	推荐菜谱	rid-305821
2800	婴儿	7-9个月	推荐菜谱	rid-320859
2800	婴儿	7-9个月	推荐菜谱	rid-212040
2800	婴儿	7-9个月	推荐菜谱	rid-401975
2800	婴儿	7-9个月	推荐菜谱	rid-454683
2800	婴儿	7-9个月	推荐菜谱	rid-306555
2800	婴儿	7-9个月	推荐菜谱	rid-311433
2800	婴儿	7-9个月	推荐菜谱	rid-305197
2800	婴儿	7-9个月	百科知识	tid-329650
2800	婴儿	7-9个月	百科知识	tid-329654
2800	婴儿	7-9个月	百科知识	tid-329645
422	元宵节		传统元宵汤圆	rid-392355
422	元宵节		传统元宵汤圆	rid-377537
422	元宵节		传统元宵汤圆	rid-277057
422	元宵节		传统元宵汤圆	rid-565984
422	元宵节		传统元宵汤圆	rid-281444
422	元宵节		传统元宵汤圆	rid-240361
422	元宵节		传统元宵汤圆	rid-308900
422	元宵节		传统元宵汤圆	rid-827464
422	元宵节		传统元宵汤圆	rid-267699
422	元宵节		传统元宵汤圆	rid-277719
422	元宵节		传统元宵汤圆	rid-391769
422	元宵节		传统元宵汤圆	rid-276737
422	元宵节		传统元宵汤圆	rid-390534
422	元宵节		传统元宵汤圆	rid-855191
422	元宵节		传统元宵汤圆	rid-191392
422	元宵节		花式元宵汤圆	rid-270372
422	元宵节		花式元宵汤圆	rid-270138
422	元宵节		花式元宵汤圆	rid-195343
422	元宵节		花式元宵汤圆	rid-48588
422	元宵节		花式元宵汤圆	rid-50145
422	元宵节		花式元宵汤圆	rid-391206
422	元宵节		花式元宵汤圆	rid-326498
422	元宵节		花式元宵汤圆	rid-392289
422	元宵节		花式元宵汤圆	rid-181739
422	元宵节		花式元宵汤圆	rid-277384
422	元宵节		花式元宵汤圆	rid-189443
422	元宵节		花式元宵汤圆	rid-277303
422	元宵节		花式元宵汤圆	rid-276782
422	元宵节		花式元宵汤圆	rid-473675
422	元宵节		花式元宵汤圆	rid-191868
422	元宵节		小知识	tid-184522
422	元宵节		小知识	tid-134375
422	元宵节		小知识	tid-134407
422	元宵节		元宵节团圆宴菜谱推荐	rid-185774
422	元宵节		元宵节团圆宴菜谱推荐	rid-853125
422	元宵节		元宵节团圆宴菜谱推荐	rid-339501
422	元宵节		元宵节团圆宴菜谱推荐	rid-243624
422	元宵节		元宵节团圆宴菜谱推荐	rid-251051
422	元宵节		元宵节团圆宴菜谱推荐	rid-250634
422	元宵节		元宵节团圆宴菜谱推荐	rid-235214
422	元宵节		元宵节团圆宴菜谱推荐	rid-368648
422	元宵节		元宵节团圆宴菜谱推荐	rid-333145
422	元宵节		元宵节团圆宴菜谱推荐	rid-335472
422	元宵节		元宵节团圆宴菜谱推荐	rid-801107
422	元宵节		元宵节团圆宴菜谱推荐	rid-305190
422	元宵节		推荐专辑	aid-6221551
422	元宵节		推荐专辑	aid-6228690
422	元宵节		推荐专辑	aid-6213459
422	元宵节		推荐专辑	aid-6226227
341	补血		推荐专辑	aid-1785341
341	补血		推荐专辑	aid-5943872
341	补血		适宜食材按钮	/app/recipe/act/tag/index.php?tid=341&sub=one
341	补血		禁忌食材按钮	/app/recipe/act/tag/index.php?tid=341&sub=two
341	补血		适宜-蔬菜	food-id-245
341	补血		适宜-蔬菜	food-id-122
341	补血		适宜-蔬菜	food-id-277
341	补血		适宜-蔬菜	food-id-7243
341	补血		适宜-蔬菜	food-id-46
341	补血		适宜-蔬菜	food-id-150
341	补血		适宜-蔬菜	food-id-3137
341	补血		适宜-蔬菜	food-id-5472
341	补血		适宜-蔬菜	food-id-7508
341	补血		适宜-蔬菜	food-id-13250
341	补血		适宜-蔬菜	food-id-558
341	补血		适宜-蔬菜	food-id-567
341	补血		适宜-禽肉	food-id-15
341	补血		适宜-禽肉	food-id-22
341	补血		适宜-禽肉	food-id-5
341	补血		适宜-禽肉	food-id-33
341	补血		适宜-禽肉	food-id-19
341	补血		适宜-禽肉	food-id-22
341	补血		适宜-水产品	food-id-665
341	补血		适宜-水产品	food-id-667
341	补血		适宜-水产品	food-id-668
341	补血		适宜-水产品	food-id-671
341	补血		适宜-水产品	food-id-691
341	补血		适宜-水产品	food-id-22275
341	补血		适宜-水产品	food-id-688
341	补血		适宜-水产品	food-id-693
341	补血		适宜-水产品	food-id-689
341	补血		适宜-水产品	food-id-692
341	补血		适宜-水产品	food-id-695
341	补血		适宜-米面豆乳	food-id-136
341	补血		适宜-米面豆乳	food-id-129
341	补血		适宜-米面豆乳	food-id-127
341	补血		适宜-米面豆乳	food-id-739
341	补血		适宜-米面豆乳	food-id-117
341	补血		适宜-米面豆乳	food-id-149
341	补血		适宜-米面豆乳	food-id-6841
341	补血		适宜-米面豆乳	food-id-113
341	补血		适宜-禽蛋	food-id-633
341	补血		适宜-禽蛋	food-id-640
341	补血		适宜-禽蛋	food-id-54
341	补血		适宜-禽蛋	food-id-61
341	补血		适宜-禽蛋	food-id-67
341	补血		适宜-水果	food-id-1075
341	补血		适宜-水果	food-id-177
341	补血		适宜-水果	food-id-5170
341	补血		适宜-水果	food-id-757
341	补血		适宜-水果	food-id-139
341	补血		禁忌-蔬菜	food-id-1052
341	补血		禁忌-蔬菜	food-id-120
341	补血		禁忌-蔬菜	food-id-66
341	补血		禁忌-蔬菜	food-id-12588
341	补血		禁忌-蔬菜	food-id-11691
341	补血		禁忌-蔬菜	food-id-7414
341	补血		禁忌-蔬菜	food-id-74
341	补血		禁忌-蔬菜	food-id-71
341	补血		禁忌-调味品	food-id-537
341	补血		禁忌-调味品	food-id-i59708
341	补血		禁忌-调味品	food-id-542
341	补血		禁忌-其他	food-id-544
341	补血		禁忌-其他	food-id-2045
341	补血		推荐菜谱	rid-193071
341	补血		推荐菜谱	rid-193811
341	补血		推荐菜谱	rid-267272
341	补血		推荐菜谱	rid-271602
341	补血		推荐菜谱	rid-273075
341	补血		推荐菜谱	rid-302083
341	补血		推荐菜谱	rid-302084
341	补血		推荐菜谱	rid-306993
341	补血		推荐菜谱	rid-310557
341	补血		推荐菜谱	rid-329917
341	补血		推荐菜谱	rid-349111
341	补血		推荐菜谱	rid-358033
341	补血		推荐菜谱	rid-371374
341	补血		推荐菜谱	rid-379283
341	补血		推荐菜谱	rid-384571
341	补血		推荐菜谱	rid-215749
341	补血		推荐菜谱	rid-220876
341	补血		推荐菜谱	rid-238182
341	补血		推荐菜谱	rid-249727
341	补血		推荐菜谱	rid-254530
341	补血		推荐菜谱	rid-271066
341	补血		推荐菜谱	rid-286116
341	补血		推荐菜谱	rid-290923
341	补血		推荐菜谱	rid-314414
341	补血		推荐菜谱	rid-321649
341	补血		推荐菜谱	rid-335617
341	补血		推荐菜谱	rid-362087
341	补血		推荐菜谱	rid-378694
341	补血		推荐菜谱	rid-423796
341	补血		推荐菜谱	rid-454300
341	补血		推荐菜谱	rid-62959
341	补血		推荐菜谱	rid-195913
341	补血		推荐菜谱	rid-214735
341	补血		推荐菜谱	rid-222425
341	补血		推荐菜谱	rid-258548
341	补血		推荐菜谱	rid-299051
341	补血		推荐菜谱	rid-307777
341	补血		推荐菜谱	rid-320620
341	补血		推荐菜谱	rid-340032
341	补血		推荐菜谱	rid-348364

